country,iso3,region,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Australia,AUS,BARWON_SOUTH_WEST,2018,24.7598156,25.6696158,24.8978171,24.7082248,25.9845282,25.5545055,25.0802183,24.2656272,24.6543662,26.7920235,25.583027,26.5342637,25.4804716,23.5787501,19.685241,13.5765731,9.6394815,10.4148687,,,
Australia,AUS,GIPPSLAND,2018,14.2118919,14.9504606,14.6041819,13.6765854,12.734012,13.4368628,13.9376741,13.0280258,13.0192953,15.2042447,15.3056519,17.4476078,17.0035412,16.733731,14.00305,9.5519238,6.0554438,6.0130078,,,
Australia,AUS,GRAMPIANS,2018,13.0491191,14.1925424,13.8660869,13.1666776,13.4283865,13.0086286,12.5930732,12.5281435,12.9256039,14.5498789,14.1489583,15.1590643,14.2750274,13.4910943,11.1757843,7.8001378,5.2634532,5.6606714,,,
Australia,AUS,HUME,2018,14.2568785,15.4543645,15.2940652,14.9723963,12.7164806,13.2321439,13.5127749,13.0011381,13.7416698,15.6562078,15.3835404,17.0304767,16.0672149,15.0772745,12.6881492,8.825481,5.9003831,6.064177,,,
Australia,AUS,LODDON_MALLEE,2018,14.9389588,15.6746154,15.1435238,15.0986051,14.7465543,15.150988,14.2109486,13.3787005,13.9724386,15.617817,15.3519575,16.7631173,15.6649401,14.6845081,12.0282343,8.7815423,6.042007,6.3758324,,,
Australia,AUS,New South Wales,2020,499.023,511.402,489.438,474.681,558.417,613.789,602.516,568.293,506.215,526.659,477.949,494.31,447.266,393.231,341.916,240.802,168.332,105.928,52.589,15.199,1.571
Australia,AUS,NORTH_METRO,2018,71.7604933,69.0102009,62.3565495,62.6406131,85.8630879,97.5917697,96.0696037,84.3729389,73.1953901,73.046348,65.4051139,61.8710329,53.3255088,45.2275556,37.9944833,27.1262571,19.9328905,20.2884398,,,
Australia,AUS,SOUTH_EAST_METRO,2018,102.6014038,104.3540305,98.2604614,100.9828407,125.7256042,123.1395709,121.6039396,114.5280535,105.4640059,111.1448106,99.5783551,94.9319923,82.9628325,71.4958291,61.3353411,44.1819079,32.1051825,34.4510521,,,
Australia,AUS,SOUTH_METRO,2018,47.2164146,48.3945825,46.5601549,46.1918261,61.1779394,68.9343903,67.0963634,59.4475895,54.7056743,59.0475641,52.3465593,50.9324919,45.0408264,40.6586328,36.1640106,24.9714805,18.1498812,20.3549811,,,
Australia,AUS,Victoria,2020,404.553,411.474,385.896,382.37,488.132,531.255,521.625,477.448,416.763,431.07,393.305,385.538,346.777,304.002,261.995,184.572,130.971,82.985,40.793,11.879,1.401
