Year,State,Age Group,Total ,Male,Female
,,,('000),('000),('000)
2016,Sarawak, 35 - 39,177.4,94.2,83.2
2016,Sarawak, 40 - 44,168.2,87,81.3
2016,Sarawak, 45 - 49,157.4,82.3,75.1
2016,Sarawak, 50 - 54,142.9,75.6,67.2
2016,Sarawak, 55 - 59,118.9,63,55.9
2016,Sarawak, 60 - 64,95.6,50.1,45.4
2016,Sarawak, 65 - 69,69.2,35.5,33.6
2016,Sarawak, 70 - 74,49.1,25.1,24
2016,Sarawak, 75 - 79,30.2,14.8,15.4
2016,Sarawak, 80 - 84,18.5,8.9,9.7
2016,Sarawak, 85+,16.4,7.6,8.8
2016,W.P. Kuala Lumpur, 0 - 4,132.4,68.1,64.3
2016,W.P. Kuala Lumpur, 5 - 9,118.9,61.9,57
2016,W.P. Kuala Lumpur, 10 - 14,121.8,63.4,58.4
2016,W.P. Kuala Lumpur, 15 - 19,116.3,58.5,57.7
2016,W.P. Kuala Lumpur, 20 - 24,162.8,84.5,78.4
2016,W.P. Kuala Lumpur, 25 - 29,188.7,96.7,92
2016,W.P. Kuala Lumpur, 30 - 34,189,95.4,93.6
2016,W.P. Kuala Lumpur, 35 - 39,161.7,84.8,76.9
2016,W.P. Kuala Lumpur, 40 - 44,126.9,66.3,60.5
2016,W.P. Kuala Lumpur, 45 - 49,114.1,53.2,61
2016,W.P. Kuala Lumpur, 50 - 54,102.4,54.2,48.2
2016,W.P. Kuala Lumpur, 55 - 59,82.6,44.3,38.3
2016,W.P. Kuala Lumpur, 60 - 64,61.9,31.4,30.5
2016,W.P. Kuala Lumpur, 65 - 69,46.6,23.7,22.9
2016,W.P. Kuala Lumpur, 70 - 74,29.7,14.6,15
2016,W.P. Kuala Lumpur, 75 - 79,18.6,9.7,9
2016,W.P. Kuala Lumpur, 80 - 84,8.5,4.2,4.3
2016,W.P. Kuala Lumpur, 85+,6.8,3.5,3.3
2016,W.P. Labuan, 0 - 4,9,4.7,4.4
2016,W.P. Labuan, 5 - 9,9.1,4.6,4.5
2016,W.P. Labuan, 10 - 14,8.7,4.4,4.3
2016,W.P. Labuan, 15 - 19,7.9,3.8,4.1
2016,W.P. Labuan, 20 - 24,8.6,4,4.6
2016,W.P. Labuan, 25 - 29,9.5,4.6,4.8
2016,W.P. Labuan, 30 - 34,11.6,5.9,5.6
2016,W.P. Labuan, 35 - 39,7.7,4,3.7
2016,W.P. Labuan, 40 - 44,5.9,2.9,3
2016,W.P. Labuan, 45 - 49,5.1,2.5,2.6
2016,W.P. Labuan, 50 - 54,4.5,2.4,2.1
2016,W.P. Labuan, 55 - 59,3.5,2,1.5
2016,W.P. Labuan, 60 - 64,2.4,1.3,1.1
2016,W.P. Labuan, 65 - 69,1.4,0.8,0.6
2016,W.P. Labuan, 70 - 74,0.9,0.4,0.4
2016,W.P. Labuan, 75 - 79,0.5,0.2,0.2
2016,W.P. Labuan, 80 - 84,0.3,0.1,0.1
2016,W.P. Labuan, 85+,0.4,0.2,0.2
2016,W.P. Putrajaya, 0 - 4,14.5,7.7,6.8
2016,W.P. Putrajaya, 5 - 9,11,5.6,5.4
2016,W.P. Putrajaya, 10 - 14,6.6,3,3.6
2016,W.P. Putrajaya, 15 - 19,5.1,2.3,2.8
2016,W.P. Putrajaya, 20 - 24,3.9,2.1,1.8
2016,W.P. Putrajaya, 25 - 29,5.2,1.6,3.6
2016,W.P. Putrajaya, 30 - 34,12.9,5.1,7.8
2016,W.P. Putrajaya, 35 - 39,9.3,4.2,5.1
2016,W.P. Putrajaya, 40 - 44,4.5,2.1,2.4
2016,W.P. Putrajaya, 45 - 49,3.2,1.5,1.7
2016,W.P. Putrajaya, 50 - 54,3,1.6,1.4
2016,W.P. Putrajaya, 55 - 59,2.9,1.5,1.4
2016,W.P. Putrajaya, 60 - 64,1.4,0.7,0.7
2016,W.P. Putrajaya, 65 - 69,0.5,0.3,0.2
2016,W.P. Putrajaya, 70 - 74,0.2,0.1,0.1
2016,W.P. Putrajaya, 75 - 79,0.1,0.1,0
2016,W.P. Putrajaya, 80 - 84,0.1,0,0
2016,W.P. Putrajaya, 85+,0.1,0,0.1
2017,Johor, 0 - 4,296.8,153.8,143.1
2017,Johor, 5 - 9,286.5,149.1,137.4
2017,Johor, 10 - 14,300.1,154.8,145.3
2017,Johor, 15 - 19,325.6,170.6,154.9
2017,Johor, 20 - 24,353.8,193.3,160.5
2017,Johor, 25 - 29,342.8,193.6,149.2
2017,Johor, 30 - 34,323.9,175.9,148
2017,Johor, 35 - 39,276.4,149.4,126.9
2017,Johor, 40 - 44,233.8,124.2,109.5
2017,Johor, 45 - 49,215,109.9,105.1
2017,Johor, 50 - 54,194.1,100.6,93.5
2017,Johor, 55 - 59,167.9,86.9,81
2017,Johor, 60 - 64,132,66,66
2017,Johor, 65 - 69,98.9,49.9,49
2017,Johor, 70 - 74,64.5,32.3,32.2
2017,Johor, 75 - 79,42,20.7,21.3
2017,Johor, 80 - 84,23.3,11.3,12
2017,Johor, 85+,19.6,10.1,9.5
2017,Kedah, 0 - 4,183,94.4,88.6
2017,Kedah, 5 - 9,178.2,91.8,86.4
2017,Kedah, 10 - 14,176.1,90.6,85.4
2017,Kedah, 15 - 19,212.4,111.6,100.8
2017,Kedah, 20 - 24,222.1,118,104.1
2017,Kedah, 25 - 29,187.4,99.5,87.9
2017,Kedah, 30 - 34,152.8,78.2,74.6
2017,Kedah, 35 - 39,131.1,67.2,63.9
2017,Kedah, 40 - 44,122.6,60.9,61.7
2017,Kedah, 45 - 49,118.2,57,61.2
2017,Kedah, 50 - 54,113.9,56.1,57.8
2017,Kedah, 55 - 59,102.9,50.1,52.9
2017,Kedah, 60 - 64,84.4,40.3,44.1
2017,Kedah, 65 - 69,63.6,30.6,33
2017,Kedah, 70 - 74,40.4,18.8,21.6
2017,Kedah, 75 - 79,28.5,12.3,16.2
2017,Kedah, 80 - 84,14.7,6.4,8.3
2017,Kedah, 85+,11.5,4.9,6.7
2017,Kelantan, 0 - 4,195.9,99.6,96.3
2017,Kelantan, 5 - 9,183.5,95.5,88
2017,Kelantan, 10 - 14,175.5,91.9,83.7
2017,Kelantan, 15 - 19,193.2,99.4,93.8
2017,Kelantan, 20 - 24,205.7,106.4,99.2
2017,Kelantan, 25 - 29,156.8,83.9,72.9
2017,Kelantan, 30 - 34,112.3,60,52.4
2017,Kelantan, 35 - 39,96.3,50.2,46
2017,Kelantan, 40 - 44,86.5,41.1,45.4
2017,Kelantan, 45 - 49,86.7,39.8,47
2017,Kelantan, 50 - 54,85.6,39.7,45.9
2017,Kelantan, 55 - 59,77.3,36.2,41.1
2017,Kelantan, 60 - 64,59.8,27.8,32
2017,Kelantan, 65 - 69,46.6,22.3,24.3
2017,Kelantan, 70 - 74,30.2,13.5,16.8
2017,Kelantan, 75 - 79,19.1,8.3,10.8
2017,Kelantan, 80 - 84,9.6,4,5.6
2017,Kelantan, 85+,8.3,3.5,4.8
2017,Melaka, 0 - 4,71.9,37.1,34.7
2017,Melaka, 5 - 9,68.1,34.1,34
2017,Melaka, 10 - 14,71.5,36.4,35.2
2017,Melaka, 15 - 19,77.6,40.8,36.8
2017,Melaka, 20 - 24,101.1,52.1,49.1
2017,Melaka, 25 - 29,95.1,49.5,45.6
2017,Melaka, 30 - 34,73.7,37.2,36.5
2017,Melaka, 35 - 39,58.1,29.4,28.6
2017,Melaka, 40 - 44,48.1,24.2,23.9
2017,Melaka, 45 - 49,49.3,23,26.3
2017,Melaka, 50 - 54,49.2,23.8,25.4
2017,Melaka, 55 - 59,43.6,21.6,22.1
2017,Melaka, 60 - 64,34.7,16.8,17.9
2017,Melaka, 65 - 69,28.1,13.1,15
2017,Melaka, 70 - 74,18.8,8.7,10.1
2017,Melaka, 75 - 79,12.2,5.8,6.4
2017,Melaka, 80 - 84,6.4,3,3.4
2017,Melaka, 85+,5.6,2.6,3
2017,Negeri Sembilan, 0 - 4,89,46.4,42.6
2017,Negeri Sembilan, 5 - 9,81.3,40.5,40.8
2017,Negeri Sembilan, 10 - 14,91.2,47.7,43.6
2017,Negeri Sembilan, 15 - 19,104.9,57.3,47.6
2017,Negeri Sembilan, 20 - 24,117.2,63.2,54
2017,Negeri Sembilan, 25 - 29,108.5,60.5,48
2017,Negeri Sembilan, 30 - 34,89.1,48.1,41
2017,Negeri Sembilan, 35 - 39,70.7,37.4,33.3
2017,Negeri Sembilan, 40 - 44,62.2,31.1,31.1
2017,Negeri Sembilan, 45 - 49,58.4,28.5,29.9
2017,Negeri Sembilan, 50 - 54,57.9,27.8,30.1
2017,Negeri Sembilan, 55 - 59,55.1,26.6,28.5
2017,Negeri Sembilan, 60 - 64,46.8,22.8,24.1
2017,Negeri Sembilan, 65 - 69,33.5,16.6,16.9
2017,Negeri Sembilan, 70 - 74,20.9,9.9,11
2017,Negeri Sembilan, 75 - 79,14,6.4,7.6
2017,Negeri Sembilan, 80 - 84,7.8,3.7,4.2
2017,Negeri Sembilan, 85+,5.4,2.4,3
2017,Pahang, 0 - 4,140.4,72.6,67.8
2017,Pahang, 5 - 9,141,73.5,67.5
2017,Pahang, 10 - 14,144.9,76.5,68.4
2017,Pahang, 15 - 19,153.2,81.1,72
2017,Pahang, 20 - 24,169.4,94.1,75.3
2017,Pahang, 25 - 29,156.5,89.1,67.4
2017,Pahang, 30 - 34,141.1,80,61.1
2017,Pahang, 35 - 39,113.4,64,49.4
2017,Pahang, 40 - 44,87.6,47.1,40.6
2017,Pahang, 45 - 49,81.3,41.3,40.1
2017,Pahang, 50 - 54,78.2,39,39.2
2017,Pahang, 55 - 59,71.8,35.6,36.2
2017,Pahang, 60 - 64,57.5,29,28.5
2017,Pahang, 65 - 69,46,23.1,22.9
2017,Pahang, 70 - 74,29.1,14.6,14.4
2017,Pahang, 75 - 79,18.2,8.9,9.2
2017,Pahang, 80 - 84,9.6,4.7,4.9
2017,Pahang, 85+,7.9,4,3.9
2017,Penang, 0 - 4,111.8,57.5,54.4
2017,Penang, 5 - 9,112.8,59.2,53.6
2017,Penang, 10 - 14,118.6,60.8,57.8
2017,Penang, 15 - 19,134.1,67.3,66.9
2017,Penang, 20 - 24,172.1,86.9,85.3
2017,Penang, 25 - 29,173.1,87.6,85.5
2017,Penang, 30 - 34,159.3,80.6,78.8
2017,Penang, 35 - 39,133.5,67.8,65.7
2017,Penang, 40 - 44,118.4,60.2,58.3
2017,Penang, 45 - 49,110.2,54.8,55.4
2017,Penang, 50 - 54,98.9,49.1,49.8
2017,Penang, 55 - 59,86.6,43.3,43.4
2017,Penang, 60 - 64,73,35.4,37.6
2017,Penang, 65 - 69,57.5,27.9,29.6
2017,Penang, 70 - 74,38.3,18.1,20.2
2017,Penang, 75 - 79,24.2,11.1,13.1
2017,Penang, 80 - 84,13,5.9,7.2
2017,Penang, 85+,8.3,3.9,4.5
2017,Perak, 0 - 4,174.7,88.7,86
2017,Perak, 5 - 9,175.5,89.9,85.5
2017,Perak, 10 - 14,203.4,102.6,100.9
2017,Perak, 15 - 19,238.8,119.9,118.9
2017,Perak, 20 - 24,253,129,124
2017,Perak, 25 - 29,226.5,124.2,102.3
2017,Perak, 30 - 34,174.6,92.6,82.1
2017,Perak, 35 - 39,142.1,72.8,69.3
2017,Perak, 40 - 44,133.2,68.2,65.1
2017,Perak, 45 - 49,137,66.4,70.6
2017,Perak, 50 - 54,140.7,69.1,71.6
2017,Perak, 55 - 59,133.2,66.7,66.4
2017,Perak, 60 - 64,114,56.1,57.8
2017,Perak, 65 - 69,94.8,45.6,49.2
2017,Perak, 70 - 74,64.4,30.8,33.5
2017,Perak, 75 - 79,44.3,20.5,23.8
2017,Perak, 80 - 84,26.6,11.6,15
2017,Perak, 85+,16.4,8.2,8.2
2017,Perlis, 0 - 4,21.4,11.1,10.3
2017,Perlis, 5 - 9,20.9,10.8,10.1
2017,Perlis, 10 - 14,19.6,10,9.5
2017,Perlis, 15 - 19,20.6,10.2,10.4
2017,Perlis, 20 - 24,28.2,13.8,14.5
2017,Perlis, 25 - 29,25.8,14.1,11.7
2017,Perlis, 30 - 34,18.9,9.8,9.1
2017,Perlis, 35 - 39,14.1,7,7.1
2017,Perlis, 40 - 44,12.1,5.5,6.6
2017,Perlis, 45 - 49,12.4,5.9,6.5
2017,Perlis, 50 - 54,13.4,6.5,6.9
2017,Perlis, 55 - 59,12.4,5.9,6.5
2017,Perlis, 60 - 64,10.6,5,5.6
2017,Perlis, 65 - 69,8.3,4,4.3
2017,Perlis, 70 - 74,5.6,2.7,3
2017,Perlis, 75 - 79,3.8,1.8,2.1
2017,Perlis, 80 - 84,2.1,0.9,1.2
2017,Perlis, 85+,1.8,0.7,1.1
2017,Selangor, 0 - 4,533.6,278.1,255.5
2017,Selangor, 5 - 9,494.4,258.7,235.7
2017,Selangor, 10 - 14,473.4,241.6,231.8
2017,Selangor, 15 - 19,461.5,237.4,224.1
2017,Selangor, 20 - 24,564.7,296.9,267.8
2017,Selangor, 25 - 29,703.4,372,331.4
2017,Selangor, 30 - 34,712.5,369.1,343.5
2017,Selangor, 35 - 39,569.6,298.3,271.3
2017,Selangor, 40 - 44,443.7,233.2,210.5
2017,Selangor, 45 - 49,370.7,192.3,178.4
2017,Selangor, 50 - 54,311.7,163.5,148.2
2017,Selangor, 55 - 59,250.7,131.5,119.2
2017,Selangor, 60 - 64,184.8,95,89.8
2017,Selangor, 65 - 69,138,67.9,70
2017,Selangor, 70 - 74,81.8,39,42.7
2017,Selangor, 75 - 79,44.7,21.6,23.1
2017,Selangor, 80 - 84,22.6,10.8,11.8
2017,Selangor, 85+,19,9.3,9.7
2017,Terengganu, 0 - 4,133.1,68.6,64.5
2017,Terengganu, 5 - 9,119.7,61.2,58.5
2017,Terengganu, 10 - 14,114.6,59,55.7
2017,Terengganu, 15 - 19,121,61.9,59
2017,Terengganu, 20 - 24,128,66,62
2017,Terengganu, 25 - 29,114.8,60.7,54.1
2017,Terengganu, 30 - 34,87,47.2,39.9
2017,Terengganu, 35 - 39,66.6,34.8,31.8
2017,Terengganu, 40 - 44,59.4,29.2,30.2
2017,Terengganu, 45 - 49,56.9,27.6,29.3
2017,Terengganu, 50 - 54,55.5,26.9,28.6
2017,Terengganu, 55 - 59,48.9,24,24.9
2017,Terengganu, 60 - 64,37,18.1,18.9
2017,Terengganu, 65 - 69,27,13.6,13.4
2017,Terengganu, 70 - 74,17.4,8.1,9.3
2017,Terengganu, 75 - 79,11.5,5.2,6.3
2017,Terengganu, 80 - 84,4.9,2.2,2.7
2017,Terengganu, 85+,4.6,2.1,2.5
2017,Sabah, 0 - 4,308.3,159.8,148.5
2017,Sabah, 5 - 9,311,158.4,152.6
2017,Sabah, 10 - 14,312.5,160.1,152.4
2017,Sabah, 15 - 19,438,230.9,207.1
2017,Sabah, 20 - 24,475,246.4,228.6
2017,Sabah, 25 - 29,479.5,249.7,229.8
2017,Sabah, 30 - 34,369.4,196.8,172.6
2017,Sabah, 35 - 39,292.1,154.6,137.4
2017,Sabah, 40 - 44,218.5,114.9,103.6
2017,Sabah, 45 - 49,178.6,94.1,84.5
2017,Sabah, 50 - 54,149.6,79.7,69.9
2017,Sabah, 55 - 59,118.1,62.6,55.5
2017,Sabah, 60 - 64,82,44,38
2017,Sabah, 65 - 69,50.5,25.8,24.6
2017,Sabah, 70 - 74,32.5,16.4,16.2
2017,Sabah, 75 - 79,20.6,10,10.5
2017,Sabah, 80 - 84,10.4,4.8,5.7
2017,Sabah, 85+,9.4,4.8,4.6
2017,Sarawak, 0 - 4,199.3,102.9,96.4
2017,Sarawak, 5 - 9,221.4,112.9,108.5
2017,Sarawak, 10 - 14,244.1,122.8,121.4
2017,Sarawak, 15 - 19,257.6,132.4,125.2
2017,Sarawak, 20 - 24,287,155.2,131.9
2017,Sarawak, 25 - 29,269.2,144.9,124.3
2017,Sarawak, 30 - 34,218.5,114.7,103.8
2017,Sarawak, 35 - 39,183,96.7,86.4
2017,Sarawak, 40 - 44,166.4,86.3,80.2
2017,Sarawak, 45 - 49,159.2,82.9,76.3
2017,Sarawak, 50 - 54,144.6,76.4,68.2
2017,Sarawak, 55 - 59,123.5,65.2,58.3
2017,Sarawak, 60 - 64,99.9,52.6,47.2
2017,Sarawak, 65 - 69,72.8,37.3,35.5
2017,Sarawak, 70 - 74,51,26.2,24.8
2017,Sarawak, 75 - 79,32,15.6,16.4
2017,Sarawak, 80 - 84,19.6,9.5,10.1
2017,Sarawak, 85+,17.3,8.1,9.2
2017,W.P. Kuala Lumpur, 0 - 4,131,67.3,63.7
2017,W.P. Kuala Lumpur, 5 - 9,118.4,61.4,57
2017,W.P. Kuala Lumpur, 10 - 14,119.5,62.6,56.9
2017,W.P. Kuala Lumpur, 15 - 19,119,60.2,58.8
2017,W.P. Kuala Lumpur, 20 - 24,154.9,80,74.9
2017,W.P. Kuala Lumpur, 25 - 29,185.4,96,89.4
2017,W.P. Kuala Lumpur, 30 - 34,186.2,93.7,92.5
2017,W.P. Kuala Lumpur, 35 - 39,167.7,86.9,80.8
2017,W.P. Kuala Lumpur, 40 - 44,129.9,68.3,61.6
2017,W.P. Kuala Lumpur, 45 - 49,112.9,53.8,59.1
2017,W.P. Kuala Lumpur, 50 - 54,103.7,52.4,51.3
2017,W.P. Kuala Lumpur, 55 - 59,85.1,46.2,38.9
2017,W.P. Kuala Lumpur, 60 - 64,64.1,32.7,31.5
2017,W.P. Kuala Lumpur, 65 - 69,48,24.1,23.9
2017,W.P. Kuala Lumpur, 70 - 74,31.9,15.8,16.1
2017,W.P. Kuala Lumpur, 75 - 79,19.2,9.7,9.5
2017,W.P. Kuala Lumpur, 80 - 84,9.4,4.8,4.6
2017,W.P. Kuala Lumpur, 85+,6.8,3.5,3.3
2017,W.P. Labuan, 0 - 4,9.1,4.7,4.4
2017,W.P. Labuan, 5 - 9,8.9,4.5,4.4
2017,W.P. Labuan, 10 - 14,8.7,4.4,4.2
2017,W.P. Labuan, 15 - 19,8,3.9,4.1
2017,W.P. Labuan, 20 - 24,8.5,3.9,4.5
2017,W.P. Labuan, 25 - 29,9.2,4.5,4.7
2017,W.P. Labuan, 30 - 34,11,5.6,5.4
2017,W.P. Labuan, 35 - 39,8.7,4.5,4.2
2017,W.P. Labuan, 40 - 44,5.9,2.9,3
2017,W.P. Labuan, 45 - 49,5.2,2.6,2.7
2017,W.P. Labuan, 50 - 54,4.5,2.4,2.1
2017,W.P. Labuan, 55 - 59,3.7,2.1,1.6
2017,W.P. Labuan, 60 - 64,2.6,1.4,1.2
2017,W.P. Labuan, 65 - 69,1.5,0.8,0.7
2017,W.P. Labuan, 70 - 74,0.9,0.5,0.5
2017,W.P. Labuan, 75 - 79,0.5,0.3,0.3
2017,W.P. Labuan, 80 - 84,0.3,0.1,0.1
2017,W.P. Labuan, 85+,0.5,0.2,0.2
2017,W.P. Putrajaya, 0 - 4,14.4,7.5,6.8
2017,W.P. Putrajaya, 5 - 9,12.2,6.3,5.9
2017,W.P. Putrajaya, 10 - 14,7,3.2,3.7
2017,W.P. Putrajaya, 15 - 19,5.6,2.5,3
2017,W.P. Putrajaya, 20 - 24,4.1,2.1,2
2017,W.P. Putrajaya, 25 - 29,4.8,1.7,3.1
2017,W.P. Putrajaya, 30 - 34,11.3,4.2,7.1
2017,W.P. Putrajaya, 35 - 39,11.1,4.8,6.2
2017,W.P. Putrajaya, 40 - 44,5,2.4,2.6
2017,W.P. Putrajaya, 45 - 49,3.3,1.6,1.7
2017,W.P. Putrajaya, 50 - 54,3,1.6,1.5
2017,W.P. Putrajaya, 55 - 59,3,1.6,1.4
2017,W.P. Putrajaya, 60 - 64,1.8,0.9,0.9
2017,W.P. Putrajaya, 65 - 69,0.6,0.3,0.3
2017,W.P. Putrajaya, 70 - 74,0.2,0.1,0.1
2017,W.P. Putrajaya, 75 - 79,0.1,0.1,0
2017,W.P. Putrajaya, 80 - 84,0.1,0,0
2017,W.P. Putrajaya, 85+,0.2,0.1,0.1
2018,Johor, 0 - 4,298.9,154.5,144.4
2018,Johor, 5 - 9,289.8,150.9,138.9
2018,Johor, 10 - 14,295.7,152.2,143.5
2018,Johor, 15 - 19,327.6,171,156.6
2018,Johor, 20 - 24,360.9,197.6,163.3
2018,Johor, 25 - 29,344.8,193.3,151.5
2018,Johor, 30 - 34,323.4,176.1,147.2
2018,Johor, 35 - 39,288.3,154.4,134
2018,Johor, 40 - 44,235.9,126.1,109.8
2018,Johor, 45 - 49,217.9,111.6,106.2
2018,Johor, 50 - 54,196.6,100.8,95.8
2018,Johor, 55 - 59,171.9,89.5,82.4
2018,Johor, 60 - 64,137.9,68.6,69.3
2018,Johor, 65 - 69,102.4,51.4,51
2018,Johor, 70 - 74,69.7,34.8,34.9
2018,Johor, 75 - 79,42,20.6,21.4
2018,Johor, 80 - 84,25.7,12.5,13.2
2018,Johor, 85+,20,10.5,9.5
2018,Kedah, 0 - 4,182.3,94,88.3
2018,Kedah, 5 - 9,181.3,93.5,87.8
2018,Kedah, 10 - 14,172.4,88.6,83.9
2018,Kedah, 15 - 19,206.3,108.3,98.1
2018,Kedah, 20 - 24,226.8,121,105.9
2018,Kedah, 25 - 29,193.6,103.2,90.5
2018,Kedah, 30 - 34,155.2,79.1,76.1
2018,Kedah, 35 - 39,133.5,68.2,65.3
2018,Kedah, 40 - 44,122.4,61.2,61.2
2018,Kedah, 45 - 49,117.9,56.8,61.1
2018,Kedah, 50 - 54,113.8,55.5,58.3
2018,Kedah, 55 - 59,104.5,51,53.4
2018,Kedah, 60 - 64,87,41.4,45.6
2018,Kedah, 65 - 69,66.1,31.4,34.7
2018,Kedah, 70 - 74,43.8,20.7,23.1
2018,Kedah, 75 - 79,27.6,11.8,15.8
2018,Kedah, 80 - 84,16.4,7.1,9.3
2018,Kedah, 85+,11.6,5,6.7
2018,Kelantan, 0 - 4,196.1,100.1,96.1
2018,Kelantan, 5 - 9,188.3,97.5,90.8
2018,Kelantan, 10 - 14,174.5,91.6,83
2018,Kelantan, 15 - 19,190,98,92
2018,Kelantan, 20 - 24,202.9,104.9,98
2018,Kelantan, 25 - 29,175.7,94,81.8
2018,Kelantan, 30 - 34,114.7,61.4,53.4
2018,Kelantan, 35 - 39,100.6,53.1,47.5
2018,Kelantan, 40 - 44,86.4,41.5,44.9
2018,Kelantan, 45 - 49,86.4,39.5,46.9
2018,Kelantan, 50 - 54,85.3,39.5,45.8
2018,Kelantan, 55 - 59,78.9,36.8,42.1
2018,Kelantan, 60 - 64,62.5,28.9,33.6
2018,Kelantan, 65 - 69,47.5,22.4,25
2018,Kelantan, 70 - 74,32.7,14.8,17.9
2018,Kelantan, 75 - 79,19.6,8.4,11.2
2018,Kelantan, 80 - 84,9.8,4.1,5.8
2018,Kelantan, 85+,8.4,3.6,4.8
2018,Melaka, 0 - 4,72,37.1,34.8
2018,Melaka, 5 - 9,68.8,34.5,34.2
2018,Melaka, 10 - 14,70.9,35.8,35.1
2018,Melaka, 15 - 19,77,40.5,36.4
2018,Melaka, 20 - 24,97.2,50.3,46.9
2018,Melaka, 25 - 29,99.6,51.7,48
2018,Melaka, 30 - 34,75.4,38.2,37.1
2018,Melaka, 35 - 39,60.9,30.6,30.3
2018,Melaka, 40 - 44,48.3,24.3,23.9
2018,Melaka, 45 - 49,48.4,23,25.4
2018,Melaka, 50 - 54,49.5,23.4,26.1
2018,Melaka, 55 - 59,44.7,22.2,22.5
2018,Melaka, 60 - 64,35.8,17.2,18.6
2018,Melaka, 65 - 69,28.5,13.4,15.1
2018,Melaka, 70 - 74,20.5,9.3,11.2
2018,Melaka, 75 - 79,12.2,5.8,6.4
2018,Melaka, 80 - 84,7.1,3.3,3.8
2018,Melaka, 85+,5.8,2.8,3
2018,Negeri Sembilan, 0 - 4,89.7,46.5,43.2
2018,Negeri Sembilan, 5 - 9,82,41.1,40.8
2018,Negeri Sembilan, 10 - 14,88,45.6,42.4
2018,Negeri Sembilan, 15 - 19,104.7,57.1,47.7
2018,Negeri Sembilan, 20 - 24,116.1,62.5,53.6
2018,Negeri Sembilan, 25 - 29,110.4,61.4,49
2018,Negeri Sembilan, 30 - 34,92.8,50.7,42.2
2018,Negeri Sembilan, 35 - 39,71.6,37.7,33.9
2018,Negeri Sembilan, 40 - 44,62.6,31.5,31.1
2018,Negeri Sembilan, 45 - 49,58.5,28.7,29.8
2018,Negeri Sembilan, 50 - 54,57.4,27.4,30
2018,Negeri Sembilan, 55 - 59,55,26.6,28.4
2018,Negeri Sembilan, 60 - 64,48,23,25.1
2018,Negeri Sembilan, 65 - 69,35.5,17.6,17.9
2018,Negeri Sembilan, 70 - 74,22.5,10.7,11.9
2018,Negeri Sembilan, 75 - 79,14,6.4,7.6
2018,Negeri Sembilan, 80 - 84,8.4,3.9,4.6
2018,Negeri Sembilan, 85+,5.6,2.6,3
2018,Pahang, 0 - 4,140.2,72.2,68
2018,Pahang, 5 - 9,139.6,72.6,67
2018,Pahang, 10 - 14,144.1,76.2,67.9
2018,Pahang, 15 - 19,151.7,80.8,70.9
2018,Pahang, 20 - 24,168.2,92.9,75.2
2018,Pahang, 25 - 29,164.2,93.3,70.8
2018,Pahang, 30 - 34,139.4,78.5,60.9
2018,Pahang, 35 - 39,122.4,68.7,53.8
2018,Pahang, 40 - 44,87.4,47.6,39.8
2018,Pahang, 45 - 49,81.4,41.4,40
2018,Pahang, 50 - 54,77.8,39,38.8
2018,Pahang, 55 - 59,72.8,35.9,37
2018,Pahang, 60 - 64,59.7,30,29.7
2018,Pahang, 65 - 69,46.5,23.3,23.2
2018,Pahang, 70 - 74,32.3,16,16.3
2018,Pahang, 75 - 79,17.9,8.9,9
2018,Pahang, 80 - 84,10.8,5.2,5.6
2018,Pahang, 85+,8.3,4.3,4
2018,Penang, 0 - 4,111.2,57,54.2
2018,Penang, 5 - 9,113.3,59.6,53.7
2018,Penang, 10 - 14,116.7,60.2,56.5
2018,Penang, 15 - 19,132.3,66.3,66.1
2018,Penang, 20 - 24,172.2,87.3,85
2018,Penang, 25 - 29,176.9,89.9,87
2018,Penang, 30 - 34,159.3,79.7,79.5
2018,Penang, 35 - 39,139.5,70.9,68.7
2018,Penang, 40 - 44,118.4,60.2,58.2
2018,Penang, 45 - 49,111.6,55.8,55.8
2018,Penang, 50 - 54,100.9,49.8,51
2018,Penang, 55 - 59,87.8,43.8,43.9
2018,Penang, 60 - 64,75.4,36.7,38.8
2018,Penang, 65 - 69,58.6,28.1,30.5
2018,Penang, 70 - 74,41.5,19.7,21.8
2018,Penang, 75 - 79,24.4,11,13.3
2018,Penang, 80 - 84,14.5,6.6,8
2018,Penang, 85+,8.3,4,4.3
2018,Perak, 0 - 4,172.9,88.3,84.6
2018,Perak, 5 - 9,175.4,89.3,86
2018,Perak, 10 - 14,193.6,97.7,95.9
2018,Perak, 15 - 19,234.7,117.5,117.3
2018,Perak, 20 - 24,253.4,129.4,124
2018,Perak, 25 - 29,233.7,125.7,108
2018,Perak, 30 - 34,184.3,99.6,84.8
2018,Perak, 35 - 39,143.4,73,70.4
2018,Perak, 40 - 44,132.8,68.1,64.7
2018,Perak, 45 - 49,133.6,65.2,68.3
2018,Perak, 50 - 54,139.2,67.6,71.7
2018,Perak, 55 - 59,133.7,67,66.7
2018,Perak, 60 - 64,116.6,57.4,59.3
2018,Perak, 65 - 69,96.3,46.3,50
2018,Perak, 70 - 74,69.7,33,36.7
2018,Perak, 75 - 79,43.3,20.2,23.1
2018,Perak, 80 - 84,29,12.6,16.5
2018,Perak, 85+,17.7,8.9,8.8
2018,Perlis, 0 - 4,21.7,11.3,10.5
2018,Perlis, 5 - 9,20.8,10.6,10.2
2018,Perlis, 10 - 14,19.4,9.9,9.5
2018,Perlis, 15 - 19,20.5,10.1,10.3
2018,Perlis, 20 - 24,25.6,12.5,13.1
