Year,State,Age Group,Total ,Male,Female
,,,('000),('000),('000)
2015,Pahang, 45 - 49,80.8,41.1,39.7
2015,Pahang, 50 - 54,78.4,39.1,39.3
2015,Pahang, 55 - 59,68.8,34.5,34.3
2015,Pahang, 60 - 64,53.6,27.2,26.4
2015,Pahang, 65 - 69,43.1,21.8,21.4
2015,Pahang, 70 - 74,24.3,12.5,11.7
2015,Pahang, 75 - 79,17.7,8.6,9.1
2015,Pahang, 80 - 84,7.9,4,3.9
2015,Pahang, 85+,7.3,3.5,3.7
2015,Penang, 0 - 4,112.3,58.4,53.9
2015,Penang, 5 - 9,113.7,59.2,54.5
2015,Penang, 10 - 14,122.2,62.4,59.8
2015,Penang, 15 - 19,134.2,68.1,66
2015,Penang, 20 - 24,167.7,83.7,84
2015,Penang, 25 - 29,169.5,85.6,83.9
2015,Penang, 30 - 34,154.2,78.2,75.9
2015,Penang, 35 - 39,126,64.1,61.8
2015,Penang, 40 - 44,117,59.5,57.6
2015,Penang, 45 - 49,106.6,52.4,54.2
2015,Penang, 50 - 54,94.9,48,46.9
2015,Penang, 55 - 59,83.3,41.3,41.9
2015,Penang, 60 - 64,68,33.2,34.8
2015,Penang, 65 - 69,53.5,26.2,27.2
2015,Penang, 70 - 74,33,15.5,17.4
2015,Penang, 75 - 79,23.3,10.8,12.5
2015,Penang, 80 - 84,10.7,4.8,5.9
2015,Penang, 85+,8.2,3.5,4.6
2015,Perak, 0 - 4,176.4,88.9,87.5
2015,Perak, 5 - 9,180.7,91.9,88.7
2015,Perak, 10 - 14,221.7,111.7,110.1
2015,Perak, 15 - 19,242.7,121.2,121.5
2015,Perak, 20 - 24,248.2,128,120.2
2015,Perak, 25 - 29,211.5,116.1,95.5
2015,Perak, 30 - 34,157.4,82.4,75
2015,Perak, 35 - 39,141.1,73.2,67.9
2015,Perak, 40 - 44,135.8,68.7,67.1
2015,Perak, 45 - 49,142.6,69.5,73.2
2015,Perak, 50 - 54,141.2,70.5,70.7
2015,Perak, 55 - 59,130.3,65.2,65.1
2015,Perak, 60 - 64,109.6,54,55.6
2015,Perak, 65 - 69,89.4,43.1,46.3
2015,Perak, 70 - 74,56.8,27.7,29
2015,Perak, 75 - 79,44.1,20,24.1
2015,Perak, 80 - 84,22.9,10.2,12.7
2015,Perak, 85+,14.5,7,7.5
2015,Perlis, 0 - 4,21.1,10.8,10.3
2015,Perlis, 5 - 9,20.3,10.5,9.7
2015,Perlis, 10 - 14,20.4,10.3,10.1
2015,Perlis, 15 - 19,22,11,11.1
2015,Perlis, 20 - 24,31.1,15.4,15.7
